,0
0,
1,"[id211389315|Александр], норм"
2,😁
3,Воронка как цветок на воде 💮
4,Сша фашизм
5,Какие злодеи. Целых три месяца ждали.
6,"Мир узнает правду, все тайное становится явным."
7,"Почему вата верит этому Хершу, как пророку ?"
8,"Та не, это не мы, это цыгане"
9,"[id625266676|Allen-Welsh], инфоцыгане"
10,"Толку нет!🤷‍♂️
Кто судить чертей будет?
Все боятся!☝️"
11,"Конечно же во всех земных грехах США виноваты, а мы белые и пушистые."
12,"Какая разница, если наш газ всё равно в Европе не покупают?"
13,Молодцы
14,"[id477641086|Олег-Николаевич], Улетают девочки на юг: море, чайки, запахи жасмина. Лайнеры несут к тёплым берегам длинноногие картины. Ночь, вино и дым кальян, танцы до утра у моря, от духов я очень пьяный, до рассвета я себя не помню"
15,Молодцы девчонки !!! 👍👍👍🇷🇺🇷🇺🇷🇺💪💪💪🔥🔥🔥
16,"[id619328383|Вера], согласны! Красотки! 👍🇷🇺💪"
17,"Укры, только не скулите пж..."
18,"[id653779160|Public], это вряд ли. Будут."
19,в Джанкой оценили этот бред😂
20,"[id434539389|Nika], бывал там?"
21,"[id434539389|Ника], 💩, из страны 404!!!.У тебя шизофрения+бред величия!!!. Бред величия – это патопсихологический синдром, при котором пациент переоценивает собственную значимость, личностные качества, способности. Основное проявление – неадекватное поведение, соответствующее роли известного, богатого, гениального, экстраординарного, наделенного властью человека. Больные высказывают идеи собственного всемогущества, высокого предназначения, мнят себя спасителями душ, царями, богами."
22,"[id434539389|Ника], 🦧!!!. Флаг ЛГБТ тебе в руки, барабан тебе на шею, а в ж... тебе, соль из двустволки!!!."
23,"[id434539389|Ника], бред ты только здесь ."
24,"Не думала, что таие хрупкие девушки так эффективно выполняют свою работу в зоне СВО!"
25,"[id707043408|Лилия], вы серьёзно? Открою вам секрет... на заводах есть крановщицы, они тоже нажимают на кнопки управляя краном 😜"
26,"[id329102809|Старик],"
27,"[id152846087|Алексей], 💩, из страны 404!!!."
28,"[id707043408|Лилия], это говорит о том, что скоро начнут мобилизацию женщин. Особенно тех, кто яростно кричит о предстоящей победе"
29,"[id707043408|Лилия], хрупкие? Да они по 90 килограмм 😀😀😀"
30,"[id134480407|Анна], я из России и восхищаюсь нашими женщинами, как и наши поэты😉"
31,Где видео как это произошло? Или их рапорта?
32,"[id625266676|Allen-Welsh], не бзди, все есть"
33,"[id625266676|Allen-Welsh], ну да, им только и делать было, как снимать)."
34,"[id625266676|Allen-Welsh], алень, ты кто такой чтобы тебе докладывать ??"
35,"[id625266676|Allen-Welsh], для служебного пользования. Тебе не покажут , иностранный агент."
36,"[id625266676|Allen-Welsh], у нас на работе тоже говорят...нет цифрового следа значит не работал....
Цифровое рабство это называется. А людям надо верить на слово, хотя и не всем."
37,"[id625266676|Allen-Welsh], У нас в России настоящих героев награждают, а не ""путан"" , как это было в Киеве )) Учись ."
38,"[id788595534|Юлия], всхрюками ботвы удовлетворен"
39,"[id625266676|Allen-Welsh], 🐖, из страны 404!!!.У нашего луня,
У милого друга,
Сорок кадушек
Солёных лягушек,
Сорок амбаров
Сухих тараканов,
Пятьдесят поросят —
Только ножки висят."
40,"[id625266676|Allen-Welsh], а я смотрю куропатка ободранная решила голос прорезать свой 🤣🤣🤣"
41,"[id625266676|Allen-Welsh],"
42,"А почему зеленский не вручает орден мужества своим согражданам которые стоят на ленинградке?😂

Они тоже жопой рискуют))"
43,"[id788370170|Nik], вручает"
44,Слышал окраинцы отражают атаки банками с огурцами. Прямо из окон квартир.
45,"[id629073425|Руслан], бытовало выражение, подразумевающее полный восторг  звучало так;
ПОЛНАЯ ЖОПА ОГУРЦОВ"
46,"[id719278506|Андрей], ничёсе."
47,кросавцы! обоссикали бпла)
48,"бпла от морского дрона не отличаешь, да?😀😀"
49,"[id625266676|Allen-Welsh], 🐖, из страны 404!!!."
50,Поздравляем!!! Молодцы!!! Здоровья и сил !!!
51,Начались испытания ТВС-2МС с российской авионикой #времявперёд!
52,"[id203696339|Иван], там и Суперджет-100 на отечественных движках ПД-08 уже проходит последние испытания. Месяца через три начнется запуск в пром. производство самолетов"
53,"Девять  граммов  в сердце, постой , не спеши, не везёт мне в смерти...а дальше жуть ! Когда идёт война, надо спешить, потом не успеешь..."
54,"[id653779160|Public], и ТУ -214 начали серийно выпускать"
55,Я второй УВЛИУВТ
56,"[id466461215|Альберт], алеут?"
57,"[id629073425|Руслан], я русский 🇷🇺"
58,Брат Губера? Беглов
59,#👍
60,"Вот если их казнят , другие думать будут... А так рука руку моет"
61,"[id366009826|Влад], в Китае часто казнят и причём публично. И что то это не искоренят там коррупцию."
62,"[id203696339|Иван], если бы там такой меры не было Китай стоял бы во всех мировых рейтингах ниже России. А при такой мере они и наши ресурсы покупают и развиваются, а что мы? Москвич табличку смогли сделать?  По цене их автомобиля..."
63,"[id366009826|Влад], если вы не знает что производит Россия 🇷🇺 это сугубо ваши проблемы, больше слушайте информационных помоек 😊"
64,"[id203696339|Иван], что производит Россия ?"
65,"[id203696339|Иван], но она(коррупция) под контролем в Китае."
66,"Ну с должностных лиц спрос вдвойне должен быть, я так считаю."
67,Ничего другого от них я и не ожидаю
68,"Вы там друга Путина, товарища Ралдугина, лучше проверьте."
69,"Видимо кому то дорогу перешли, у нас за взятки обычно награждают, а не задерживают"
70,"[id146998275|Миша], у вас в Украине всё  не как у людей 🐽🇺🇦"
71,"[id146998275|Миша], у вас на украине или у вас в сша?... В России взяточников сажают в тюрьму когда доказана их вина..*Миша Данилов 
Главное то, что Украина незалежна!..** ЗАчем так палиться?"
72,"[id146998275|Миша], да что ты говоришь, а это тебе о чем-то говорит?"
73,"[id146998275|Миша], в США вообще не сажают так как коррупция узаконена"
74,"[id146998275|Миша],"
75,"[id146998275|Миша], В России ворам - тюрьма
На т.н. Украине глава нац банка Роллс Ройс новый покупает когда в стране нет экономики и она живёт за счёт дотаций"
76,"[id146998275|Миша], У нас(вас) это в Украине ? В России коррупция не поощряется, а присекается !"
77,"[id203696339|Иван], у них это обычное дело Для них это новость...😊"
78,"[id788658868|Ладислав], Только передали дела в суды Нету не одной строчки каво и на сколько осудили"
79,Это у вас.
80,Да там все такие
81,"[id625266676|Allen-Welsh], Знаток сразу видно 👆"
82,"[id625266676|Allen-Welsh], по себе судишь?"
83,"[id788658868|Ладислав], по ним, глупенькая"
84,"[id625266676|Allen-Welsh], а зачем пишешь мне в лс и потом, как ссыкунишька блокируешь?)"
85,Киев в труху😄
86,"[id225225514|Павел], всхрюкнут как обычно а нас за що😂"
87,"россия так не может , там же б|лять мирные.."
88,"[id225225514|Павел], ну что, можно только поздравить украинцев. Британцы решили превратить Украину в ядерную помойку, а тарасы и оксанки вскоре начнут болеть раком значительно чаще. ""Спасибо"" западным хозяевам."
89,"[id225225514|Павел], труху в Киев! Новость прочитай полностью. Там говорится о последствиях применения(о радиоактивном заражении и т.д.), а о последствиях для Киева там нет ни слова!!!"
90,
91,"[id110406196|Хорст],"
92,"[id290809805|Бендер-Сгибальщик], ну так ведь хорошо! Боевые действия-то идут на территории Свинарнии 😂"
93,
94,"[id567829075|Кристи],"
95,"[id567829075|Кристи],"
96,"[id451300190|Богдан],"
97,"[id451300190|Богдан],"
98,"[id451300190|Богдан],"
99,"[id567829075|Кристи], да потмоу что у зеленского есть только агрессивный план а не мирный!ведь этот фашик уже год мог договриться с рф.но не стал"
100,"[id567829075|Кристи], план который включает оставление всех освобождённых ранее земель Россией.
Я понимаю читать никто не умеет и ознакомится с планом не может"
101,"[id451300190|Богдан], По себе не судишь? 😂😂🐷"
102,
103,"[id286799089|Пантифик], хихоля, мы там вессь ваш весенний контрнаступ в землю хороним. не скуетись"
104,"[id286799089|Пантифик], разрешения китайский хозяев."
105,"[id443127391|Andrew],"
106,"[id286799089|Пантифик], мешок лучше чем котёл, котёл закрыт, а в мешёк всё новые идут😉"
107,"[id443127391|Andrew],"
108,"[id443127391|Andrew], зачем постить фотошоп?
Если есть оригинальные фотографии, где хозяин и его марионетка"
109,"[id286799089|Пантифик],"
110,"[id443127391|Andrew],"
111,"[id286799089|Пантифик], рне больше нет"
112,"[id286799089|Пантифик],"
113,
114,🐔🐔🐔🐔
115,"[id782449925|Илья], 😂 ну зарабатывает пенсионер чо ты пристал"
116,"💥💥💥💥💥💥💥💥💥
В 2003 году в The Guardian писали, что из-за снарядов, используемых британскими войсками в Ираке, радиация на этих территориях в 20 раз превышала норму! В самих же подбитых танках норма радиации была превышена аж в 2500 раз! 

Также в этой же статье отмечалось, что эти снаряды после первой иракской войны послужили причиной аномально высокого уровня детской лейкемии и врожденных дефектов."
117,"[id29594433|Alexey], врут."
118,"[id477641086|Олег-Николаевич], а ты попробуй проверить на своем штыке"
119,"[id41936837|Andrey], как же мне штык в британский снаряд засунуть для эксперимента?"
120,"[id477641086|Олег-Николаевич], который между ног у тебя"
121,"[id41936837|Andrey], всё ты через одно место в жизни познаешь."
122,"[id29594433|Алексей], и че делать будешь? Плакать?"
123,"[id625266676|Allen-Welsh], я буду радоваться, что у тебя на лбу вырастет половой орган.🤣"
124,"[id29594433|Алексей], или еще хуже🤣🤣"
125,"[id477641086|Олег-Николаевич], в школе тоже врут ? Радиологию не изучал ?"
126,"[id585398717|Serzh], нет. Не было такого в школе."
127,Опять красна линя??
128,"[id671965744|Miy],"
129,"[id671965744|Miy], Это же о вас идиотах заботятся, что бы у вас земля плодоносила и народ от онкологии не загнулся"
130,"Путин первый начал войну и угрожает всему миру ядерным оружием, чего испугался?"
131,"[id167616626|Оксана],"
132,"[id167616626|Оксана], мозги купи себе 🤡"
133,"[id167616626|Оксана], на вас ,на тебя конкретно радиация бахнет .Европу тоже не обойдёт .А Великобританию ,даже трогать не будем «Посейдоном « один удар рядом с берегом ..и все ...цунами ..Нет британии .Просветись ."
134,Оксана иди на укольчик бот😂
135,"[id734124698|Ира], до этих  бестолочах не достучаться 🤦‍♂️кому хуже делают только себе."
136,"[id167616626|Оксана],"
137,"[id167616626|Оксана], Первый? Наш президент никогда бы первый не нападал. Он выступает в роли защитника своего народа и своей страны"
138,"[id167616626|Оксана], войну начала Украина в феврале 2014 года."
139,"[id167616626|Оксана], испугался за украинцев. Ведь это их земля будет ни на что не пригодна, ведь это они будут жить на этой земле. Да и не все хоклы в Европу смогут уехать, вынуждены будут остаться там жить. А ты даже не понимаешь, что доскакалась."
140,"[id16327940|Светлана], купи себе мозги!"
141,"Понятно, что эскалация как всегда больше всего нужна рос пропаганде."
142,"[id279894333|Galina], эскалацией занимается запад и продолжает искать новые способы для этого, совершенно не задумываясь о негативных последствиях"
