,0
0,Вот с#ка! Как жалко мальчишку! Чтоб папашу такая же участь постигла на старости лет!
1,"[id768749946|Ольга], Пугина ты опять не похмелилась"
2,"[id768749946|Ольга], хахлоиды бандеровские...🐷"
3,"[id782850651|Наталья], гамасеки пиндоские"
4,"[id782850651|Наталья], вообще-то это Киргизия. причем здесь Украина?"
5,"Не поняла , где добавить коммент , наказать по полной!!!!! Это ужас!!!!!"
6,"[id132867192|Наташа], кремлеботы сейчас в каждую задницу хохлов вставляют"
7,"Дикарей не переделать. Только дикарь мог сделать такое с собственным сыном, жаль парня."
8,"[id6899513|Дмитрий], хахлиоиды же"
9,"[id6899513|Дмитрий], чурбан чурбана избил, в чем проблема?! И тот так же далее будет делать."
10,"[id84689234|Devid], чурбан твой отчим"
11,"[id6899513|Дмитрий], твой батя дикарь"
12,"[id619639544|Марат], сказал татарин 😆"
13,"[id84689234|Devid], ты расист дырявый"
14,"[id619639544|Марат], сказал гой))))"
15,"[id84689234|Devid], походу ты сам чурбан горный 🤣🤣"
16,"[id619639544|Марат], это какое-то но хау, что бы такое чурбан ещё писал 🤣 а ты жёсткий))))"
17,"[id84689234|Devid], тебя чурбаны избили?"
18,зачем нам киргизские новости🤔
19,"[id692783286|Всеволод], потрещать над узкоглазыми гoвнoeдами"
20,"Ждем наплыв коментов со словами.
Нас вот били и не че, нормальными выросли"
21,"[id523093400|Никита], одно дело дать воспитательного леща, а другое дело избить до полусмерти, это разные вещи."
22,"[id243524976|Алекс], так здесь послушаешь, им было норм получить люлей например деревяной линейкой"
23,"[id523093400|Никита], не норм, но я получала шнуром. Даже по голому телу не было никаких рубцов, крови и шрамов. Кошмар... Это какую ненависть надо испытывать к ребёнку, чтобы такое нанести"
24,"[id523093400|Никита], всегда удивлялась таким комментам, били вырос нормальным, били и я учителей уважал.... всмысле? Дурдом же! Как за насилие уважать можно🤷🏻‍♀️как после боли можно вырасти нормальным"
25,Пусть такая учесть ждёт его встарасте не кто не подаст стакан воды
26,"[id523093400|Никита], здесь систематическое избиение. Папаша видимо слаб духом, всю свою ущербность вымещал на собственном ребёнке. Вопрос, где была мать?"
27,"[id154204062|Юлия], а хрен его знает"
28,"[id475984416|Александр], у меня просто общались. А за косяки по учебе и вовсе как то не ругали"
29,"[id475984416|Александр], психологическое насилие,скажу честно, похуже физического работает"
30,"[id25312439|Ksana], кто сказал, что они нормальные?"
31,"Раньше он бил сына, а теперь сокамерники будут бить его."
32,"[id243524976|Алекс], а может он главный будет по киргизским тюремным законам - самый жестокий главарь скажут - будешь нашим вожаком 👍"
33,"[id692783286|Всеволод], или будет главпетух"
34,"[id692783286|Всеволод], на ребенка или женщину поднимает руку обычно слабый человек, который бьёт тех кто слабее, утверждаясь за их счёт. Так что врятли он станет главным🥲"
35,"[id11365846|Елена], это христианская мораль🤷‍♂В хорошем смысле слова.."
36,"[id243524976|Алекс], угу"
