,0
0,
1,Буллинг? 2 в четверти и оставление на второй год охладит пыл юных хулиганов.
2,Батин ремень солдатский с бляхой! Лучше нет средства на свете!
3,"[id87868142|Святослав], ещё бы кто позволил такое учителю сделать, щас и директор и завучи все на стороне детей, у учителя нет прав вообще"
4,"[id6755236|Антон], оценку ставит учитель, директор и завуч на неё никак повлиять не может."
5,"[id87868142|Святослав], а потом с тебя как с учителя спросят, почему у тебя ученик с двойкой в четверти. Начнут выяснять и окажется, что у учителя с учеником разногласия и двойка, это не обоснованная форма давления."
6,"[id46586517|Марат], любой учитель может завалить любого ученика по теме)"
7,"[id87868142|Святослав], вызовут на ковер и еще заставляют перед родителями извиняться. а сколько унижений выслушаешь.и на второй год оставлять нельзя.детская травма."
8,"[id609840138|Марина], так не иди на поводу у начальства."
9,"[id87868142|Святослав], как только начнет валить реально так и сам попадет под разбирательство. Никому в школе не нужен учитель который целенаправленно валит учеников и снижает общий уровень успеваемости. Самому учителю предъявят за то, что у него среди учеников есть тот, кто предмет не тянет. Значит он говно учитель и научить не может."
10,"[id46586517|Марат], и чо , уволить они его не могут)"
11,"[id87868142|Святослав], поэтому учитель физики и уволился.а вообще надо в этой среде поработать, чтобы все понять."
12,"Буллинг учителя? Что-то новенькое. Когда я учился, такой буллер получил бы 2 по физике и остался бы чилить на второй год"
13,"[id26598811|Славик], сейчас ни в коем случае нельзя так делать. Авторитет школы подорвешь... потом считай пропал"
14,"[id1505658|Андрей], не, ну я знаю сейчас рейтинг школ и зависимость финансирования из бюджета, но точечно всегда нагибали, причем кто-то просто организовывал вылет из школы, а кому было лень - попробуй сдать экзамен, тем более по физике вальнуть вообще не проблема и 1 школял статистику сильно не испортит, в конце концов можно поднять баллы остальному классу и сумма не поменяется."
15,"[id1505658|Андрей], не надо. Учителя сами буллинг устраивают над детьми. И оценки в виде 2 ставят за поведение, а не за знания😁 вон у дочери знания по русскому языку всегда на 4-5 были, пришёл другой учитель в итоге чуть ли не 2 за четверть🤣 и весь дневник исписан что плохое поведение"
16,"[id26598811|Славик], это одна из форм крайностей с которыми сталкиваются уходя от золотой середины. Нынче нельзя отругать двоечника, а то он пойдет с окна улетит от психологической травмы. Ну а соответственно, так называемые ""вожаки"" - агрессоры неплохо считывают ситуацию и начинают уже пользоваться безнаказанностью. Та же что и бродячими собачками ситуация. Собаководы их защищали, защищали, а теперь сами и их дети страдают."
17,"[id168092542|Анастасия], вопрос к вам, почему у вашей девочки плохое поведение на уроке?"
18,"[id1505658|Андрей], ребёнок просто рисует когда выполнил задание) либо переписывается) это никак ей вести урок не мешает😁"
19,"[id1505658|Андрей], и вы опять же написали что оценки учителя только адекватные ставят. Нет не ставят)"
20,"[id168092542|Анастасия], так же другие учителя не жалуются на неё)"
21,"[id168092542|Анастасия], То что после того как ваша дочь выполнила задание и перепеисывается ""ни как не мешает вести урок"" сильное заблуждение. Если у вашей дочери хорошее знание предмета это не значит что у всех в ее классе так. Ее поведение подрывает во первых авторитет учителя, а во вторых мораль учеников. Сделала задание - скажи преподу, он даст следующие, а не чирикай в васап или на полях.
 Сам факт того, что вы должным образом не реагируете на замечания учителя - говорит о многом."
22,"[id205389665|Эдуард], зачем брать ещё одно задание😁 это называется выскочка и таких так же не любят🤣 и повторюсь вы оправдываете учителя ща буллинг"
23,Надо было так
24,"Учителям можно только посочувствовать. У них такая важная, тяжёлая, но абсолютно неблагодарная работа. Сейчас учитель вообще прав не имеет. Что бы не вытворяла условная диточка - ей ничего, выгнать из школы нельзя, а учителю проблемы и лишняя головная боль. Воспитание детей в первую очередь родители должны заниматься. Но иногда таких родителей самих ещё воспитывать нужно."
25,"[id298886052|Dmitry], всё переложили на учителей! 
Родители вообще ничего делают в плане воспитания! Только симбиоз двух этих социальных институтов даст свои плоды, положительные плоды!"
26,"[id298886052|Dmitry], самый эффективный способ - штрафовать родителей за выходки детей. После пары штрафов, хотя бы на рублей 500, я думаю, у детей отпадет всякое желание, такие вещи устраивать. Да и у родителей резко появится желание воспитывать детей"
27,"[id298886052|Dmitry], У родителей ""ррработу малую висок ещё  вершит, но пали руки, и стайкою наискосок уходят запахи и звуки"". О чём Вы? Какие родители? Какое что? Когда интернет?!!!"
28,"[id37881877|Дмитрий], Поздно симбиозом заниматься. Мы просрали наших детей. Сорес похихикивает."
29,"[id701673913|Марина], сегодня смотрел Алиева, его спросили в чем проблема у нас в стране, какая главная? Он подумал и сказал - безразличие. В этом вся проблема!"
30,
31,"что же про травлю учеников никто не гвоорит. учителя взрослые люди и хоть как-то защищены. а детей тхотя лишить возможности использовать видео, значит они не смогут снять на виде возможную агрессию учителя."
32,"[id193452129|Юлия], да никак учителя не защищены."
33,"[id193452129|Юлия], учителя вообще не защищены"
34,"[id193452129|Юлия], а вы идите работать в школу преподователем. Вот тогда посмотрим."
35,"[id609840138|Марина], так надо было раньше думать, когда детки маленькие были в 1 классе, прививать любовь к знаниям, а не гнобить оценками. Вот они и выросли злые."
36,"[id560827219|Дмитрий], умничать все умеют.вот поэтому настоящие специалисты и бегут со школы,потому что абсолютно некомпетентные случайные люди слишком много себе позволяют"
37,"[id609840138|Марина], а чего тут умничать.Так и есть.Настоящие специалисты научат любого если они действительно профессионалы,а дилетанты,которых взяли в школу вместо дворников действительно бегут."
38,"71 школа, Саратов, ученье ура математики Марья Максимовна, детей била и обзывала, и все молчали, жаль не дожила до этого времени"
39,"[id761983138|Остап], если бы я вёл русский в твоей школе, я бы взял самую большую линейку у Марьи Максимовны, и добавил бы тебе за твое знание родного языка."
40,"[id9534459|Евгений], если бы у бабушки 😆😆😆"
41,"[id761983138|Остап], вам явно в школе ""прилетало"" по голове от учителя русского языка"
42,"[id169957888|Vladimir], 😆😆😆"
