,0
0,🙏🙏🙏
1,🙏🙏🙏🙏
2,❤🙏🙏🙏 СЧАСТЬЯ ВАМ !
3,Молодечик
4,😢🙏🙏🙏❤
5,Надо жить дальше в новых обстоятельствах.
6,"Без глаз жить сложно, но можно. Руки у него золотые, не пропадут."
7,"[id172546920|Ольга], без глаз-очень сложно и страшно, вот теряю зрение, страшно подумать, что будет дальше."
8,❤❤❤
9,Женщина!!! Код русский . Не чета некоторым .....
10,Любви и счастья ребятам! Всё у них будет хорошо!!! 😍❤
11,Когда уже все это закончится....
12,"[id638371301|Денис], тот же вопрос"
13,"[id638371301|Денис], закончится тогда, когда Украина, спонсируемая странами НАТО перестанет представлять угрозу для России. 

Всегда такое условие и было. И в Минских, и в Будапештском меморандуме, и в тех гарантиях, которые наши представители просили от НАТО.. А те не предоставили, потому что на Россию за счет Украины и планировали нападать"
14,"Батька конечно, мы браты, но спички ваши на рыбалке не горят!"
15,😆😆😆
16,👍
17,❤❤❤💪💪💪🇷🇺🇷🇺🇷🇺
18,Главнокомандующий на месте событий.💪✊
19,"[id164408630|Владимир], Ну это обычное дело, как по мне он всё правильно делает, проверяет всё в реальном времени."
20,Надо общения с рядовым составом чтоб  узнать правду
21,
22,"Я вот сколько смотрю, наш везде поспевает слетать и все порешать, пока от Коксового клоуна из 95 квартала, вижу, что способен за пару месяцев в закрытом ангаре собрать местных аклакшей и наградить их за заслуги перед укрорейхом"
23,Икону?
24,Очередная блевотная новость!🤮
25,"Смотрела этот фильм ""Великолепный век"". Только понять не могу, чем же этот век великолепен, когда ради власти, отец убивает своих детей, зачем столько иметь жён и наложниц, чтобы рожать большое количество детей, чтоб потом ради одного, убить других. Фильм красивый, прекрасно играют артисты, но - очень тяжёлый."
26,Моя реакция на данную информацию:
27,Очень важная информация
28,"[id341961088|Карина], в топе новостей, очевидно наиважнейшая информация)"
29,"[id413599219|Светлана], ещё не вечер... Скоро начнут полоскать Пугачеву, не менее четырех постов каждый день; про Бузову, Асмус и прочих..."
30,"[id260121401|Рамилен], это хоть в какие-то рамки заходит. Тут пост о том, что москвичка спасла синичку был репостнут двести раз, вспомнилось незабвенное "" студентка уронила отварную сосиску"""
31,К чему?
32,Каждый раз влюблённым мешали обстоятельства... Суперновость.
33,"Да хорошая и важная,если учитывать нормальный и скажем даже исторический опыт настоящей любви. И не надо хмыкать."
34,Всем доброго утра.
35,"[id505790773|Татьяна],"
36,"[id758745693|Мари], Мари,извините,что спрошу у Вас,Валентин Жданов в сети Вам не встречался?"
37,"[id505790773|Татьяна], не встречался...последний раз был в сети 2 недели назад."
38,"[id758745693|Мари],"
