,0
0,Смешно)
1,"теперь мы все под колпаком. И не вылезешь, даже если захочешь😀"
2,"[id741077708|Даша], ты не понимаешь, это о нас так заботятся, опекают😌"
3,"[id23108707|Денис], конечно, всё ради нас и для нас.😃😃😃а для себя дворцы и яхты"
4,"[id741077708|Даша], если захотеть, можно самому добиться дворца и яхты. Так что не нойте"
5,🤦‍♀️🤦‍♀️🤦‍♀️
6,"""Фейк, но не смешно"" - Извинились, на всякий)))))))"
7,
8,"[id237883890|Богемия],"
9,"[id237883890|Богемия], отдай мне своих детей?"
10,"[id237883890|Богемия], фига тебя с шутки прорвало, хотя ты обычной бот("
11,"[id237883890|Богемия], схуяли на вы я должен? Ну материнский инстинкт же вымышлен. Так я спрашиваю: отдай мне своих детей? Я люблю детей."
12,"[id237883890|Богемия], «псехолаг» 😂😂😂👏👏👏"
13,"[id237883890|Богемия], мне жаль людей, которые ходят к тебе и попусту теряют свои время и деньги"
14,"[id237883890|Богемия], охуенный ответ взрослой зрелой личности, лишенной всякого инфантилизма 😂😂😂"
15,"[id237883890|Богемия], ""весьма далеки от настоящих шуток"". Ладно."
16,"[id237883890|Богемия],"
17,"[id237883890|Богемия], видно по башке  не получала. Корона крепко сидит."
18,Нахуя вы им идеи даетё..
19,ой лучше бы фотокарточки пролайкали(
20,
21,"[id499865851|Arsen],"
22,"[id185711395|Дядя], ("
23,"[id499865851|Arsen], уже один случай есть)"
24,"[id499865851|Arsen], да не работает эта фигня, подавали заявление через гос услуги, на пол головы посидел пока зарегестрировался, в итоге в загсе заявление ни кто не видел, пришлось заново подавать непосредственно в загсе. Ещë сказали, что мы не первые, так что даже если и сделают реально, работать всë равно не будет😁"
25,"[id164004630|Mr], Ваши слова да богу в уши, чтоб рухнули эти ГУ."
26,"[id289882940|Svetlana], да пусть будут, лишь бы работали"
27,"Ну... Ок! Пускай забирают! Только заберут у меня мои арестованные карты, ибо другого ничего нет"
28,
29,"Смешного то мало господа...официально придают обществу статус,,СТАДО"""
30,Хватит им идеи подкидывать 🙄🤣🤣🤣
31,"Только в СНГ, где распространенно православие."
32,"[id576411670|Николай], а католицизм и протестантство?🤔"
33,😀
