,0
0,😭
1,Храни Господь неравнодушных людей!🙏🕊
2,"[id450710457|Евгений], еслибы бог был он бы такого не допускал(("
3,"[id122712390|Кирилл], тут я полностью согласен 😢"
4,"[id122712390|Кирилл], Бог есть! Пути его неисповедимы."
5,"[id450710457|Евгений], давай расскажи мне что у него за такой путь, который допустил например педофилов, убийц, насильников? Это была его воля?"
6,"[id122712390|Кирилл], не все так просто и в двух словах этого я не поясню.если уж тебя так это интересует сходи к батюшке,он просветит обо всех интересующих тебя вопросах."
7,"[id450710457|Евгений], может свечку у него купить? а он потом эти денюжки прогулят"
8,"[id122712390|Кирилл], бог не в свечке и не в церкви.бог в твоей душе, а сердце это храм."
9,"[id122712390|Кирилл], допускает чтобы у людей была возможность проявить любовь и добро, и стать ближе в Всевышнему...она дал нам свободу выбора"
10,"[id122712390|Кирилл], У каждого свой путь и он сам должен решать куда ему идти! А Без этих людей которые выбрали путь безбожника и грешника ты бы не понимал что такое плохо а что хорошо! как говорится баланс сил в этом мире и не только!"
11,Бедняжка
12,Дай бог здоровье этим людям !!!
13,"[id135910462|Азиз], это да, это но"
14,бога нет)
15,"[id612559211|Wandering], да есть, ты каво🚬🗿"
16,"[id612559211|Wandering],"
17,"[id227414126|Зарина], сама сходи, дебилоидка, тебя никто не просил лезть когда 2 человека перешучиваются"
18,"[id612559211|Wandering], ой ой ой, смотрите какие мы обиженные. бозе мой, не обизяйся ти так🥺"
19,"Мамашу свою байти, мне на всяких верунов конченных ещё время тратить) Обиделась то первая как раз ты) Удачного дегродирования, шаболда"
20,"[id612559211|Wandering], обиделась-то* деградирования*"
21,"[id612559211|Wandering], в тебе точно"
