,0
0,Совсем что ли?
1,"[id26552238|Надежда], хочется добавить еб...ь"
2,Нескладный текст. Да и хер..я конечно полная
3,"[id26552238|Надежда], в каждый вборс верите? Читайте внимательно! Ни фамилий, ни дат! Какие-то эксперты! Кто они, когда сказали?"
4,"[id75361941|Владимир], я в новостях это слышала по телевизору."
5,"[id26552238|Надежда], по какому каналу?"
6,По НТВ.
7,"[id26552238|Надежда], одно время гуляла новость о платном школьном образовании. Даже гос.дума закон приняла, только вот номер никто назвать не мог."
8,"[id200214533|Olga], согласна"
9,Хрень
10,"[id753804823|Ирина], это хронь"
11,
12,"[id27022646|Ольга], вы адекватны вообще???"
13,"[id567664980|Анастасия], вполне."
14,"[id567664980|Анастасия], Адекватны."
15,"[id567664980|Анастасия], тебе самой еще учиться и учиться!"
16,"[id75361941|Владимир], опечатка вышла, что дальше?И на ты я с вами по моему не переходила 🤗"
17,"[id567664980|Анастасия], по-моему."
18,"[id567664980|Анастасия], если она так пишет, значит адекватности ноль 🤷‍♀️"
19,"[id27022646|Ольга], для Вас? Конечно же ничего страшного! Бабулек же это уже не касается!)))"
20,"[id52650242|Ксюша], А что ж Вы так неадекватно реагируете? Думаете, Вы самая умная тут? Вообще всегда без ошибок пишите!? 😆 А может Вы учитель русского языка и литературы, а все остальные Ваши ученики? 😆 😆"
21,"[id567664980|Анастасия], не обращайте внимание. Скорей всего, это единственное, в чём он грамотен. Знаете ли, грамотные не всегда воспитанны... 🙄"
22,Бред.
23,"[id439681515|Елена], надеюсь это обнан"
24,"[id739430479|Вика], это банан 🍌"
25,Точно совсем🙈
26,Бред полный
27,Повысится смертность среди родителей. Они может хотели детей в деревню отправить и отдохнуть!
28,"[id214421512|Николай], только с родителями обсуждаем ,что смена не в очень то удобном лагере стоит 66тр !!! Летнии сборы на 12 деней в подмосковье мне обойдутся в 48 тр. Обьяснение смертности каникулами очень милое, доступное лето детям бы сделали чтоб не болтались по улицам, но нет отменим каникулы чтоб уж точно (((( как все печально."
29,"[id214421512|Николай], 🤣 детей рожали для бабушек и дедушек? Отдохнуть решили)))"
30,"[id214421512|Николай], сейчас уже нет тех деревень,куда детей отправляли,и что значит отдохнуть,твои дети,ты и рости их,мы без деревень и бабушек своих выростили,выходит без отдыха."
31,"[id214421512|Николай], 🤣🤣🤣"
32,"[id488539241|Анжелика], с чувством юмора и грамотностью большие проблемы.🤦‍♂️"
33,"[id214421512|Николай], а деревенские ждут не дождутся ваших детей"
34,"[id488539241|Анжелика], получается, что мы, бабушки и дедушки не люди и не имеем право на внуков. Послушаеш таких умников и дико становится."
35,"[id214421512|Николай], 👍"
36,"[id488539241|Анжелика], а вы не задумались что многие бабушки и дедушки только этих каникулы ждут чтобы С внуками повидаться!!!!"
37,"[id195458225|Айгун], от школы отдохнуть охото!"
38,"Старшеклассники экзамены сдают пол лета, когда им отдыхать?"
39,"[id480600408|Людмила], а вторую половину результат поступил или нет ждут."
40,Оставьте детей в покое уже
41,"[id480600408|Людмила], а раньше,как отдыхали???"
42,"[id29222852|Марина], а мы сдавали экзамены в школе пол лета, а потом в институт ещё месяц, ничего всё выдержали, но это же только в выпускных классах так."
43,"[id67151936|Нина], им нечем заняться, новые реформы думают"
44,"[id480600408|Людмила], где так сдают? Мы тоже июнь экзамены сдавали."
45,"[id480600408|Людмила], это мы сдавали пол лета. В июне в школе, в августе в институте, а сейчас в школе сдал и с этими отметками идут в институт. А летом будут провалы, ни к чему хорошему это не приведёт."
46,"[id480600408|Людмила], в советское время экзамены сдавали с 1 июня и уже к 15 , если не раньше выдавали аттестат. А сейчас экзамен сдают 1 , а результат через 10 дней. Десять человек каждую работу проверяют за чем."
47,
48,"[id67151936|Нина], согласен ! На все 100 % !!! Летние каникулы НЕОБХОДИМЫ в полном объёме . А вот программу обучения надо возвращать по аналогии СССР !!! При ней - все всё успевали , дети были более приспособлены к жизни . В советском союзе ВСЁ УЖЕ ПРОДУМАЛИ !!! Осталось перенять лучшие стороны советского образования , но дополнить современными реалиями !!! СССР - сила !!! 💪💪💪🇷🇺🇷🇺🇷🇺"
49,Совсем ебанулись суки
50,Бред
51,Из за дебильной сестры пострадал брат. Нормальные скромные умные девочки не общаются с такими. Блокируют.
52,"[id32731735|Имя], вот именно"
53,"Пусть своих сестер е.ут!!!Охеревшие!!!Пусть такие,которые с такими предложениями сразу катятся к себе на Родину еще оказались и трусливые стаей собрались…."
54,"[id15367501|Анна], они только стаей и ходят. Очкуны. По одному язык в жопу засунут. Проверено"
55,Ну пусть посидят за побои и ращврощение малолетней
56,"Я считаю что брат молодец заступился за свою сестру,а а на чурку должно завести уголовное дело за малолеток."
57,
58,Кознить хачей надо
59,Или пусть катятся к себе на родину
60,Таких мразей надо давить как тараканов.
61,Верните скинов
62,нельзя по одному на чурок идти !эти бараны стадные!
63,таких пол страны к великому сожалению 🤦🏼‍♀️🤷‍♀️🤷‍♀️🤷‍♀️
64,"[id179474934|Юлия], просто кончины люди детей очень жалко"
65,"[id708923283|Евгений], жалко, безусловно…."
66,"[id179474934|Юлия], ну прям пол страны"
67,"[id179474934|Юлия], не правда, таких как они единицы на самом деле, просто мы их замечаем и нам кажется,что их много . Именно таких☝🏻"
68,"[id238399083|Олеся], ну не единицы явно…."
69,"[id179474934|Юлия], да ладно! Не утрируйте!"
70,"[id22701094|Надежда], даже не думала"
71,"Вот таким родителям и назначает государство пособие, бедные детишки..."
72,"[id472353463|Таня], таким родителям всё А некоторым ничего жиреют дети голодают"
73,"[id472353463|Таня], вот вот,а я добиться не могу отказы,хотя заработок не большой в разводе двое детей,ипотека и учеба."
74,"[id472353463|Таня], не надо судить по одной пьяной твари! Не все кто получает пособие так живут. А то что вам не платят, во первых не надо завидовать, это грех. А во вторых можете гордиться собой что вы самодостаточный человек и ваши детки получат все самое лучшее"
75,"[id472353463|Таня], здравствуйте мне интересно вам жалко то что она получает или ребёнка вам жалко вам что в этой ситуации жалко или то что вы не получаете"
