,0
0,И чё теперь делать?
1,"Подозрительно, одни слова и демагогия."
2,Летучими мышами? 😳
3,"[id4863388|Оксана], боевыми гусями"
4,Во сволочи! Гады
5,"Когда будет международный суд и признанное расследование по этим преступлениям против человечества!!! Нет никаких сомнений чиотчыша должны ответить за проект АнтиРоссия, ковид 19, биолаборатории вблизи наших границ!!!"
6,"Коварству США нет предела, это уже напоминиает просто сюр какойто, там во главе всего этого сидит какой то злобный гений?"
7,"Американцы психи, сколько способов о планов они применили уже против нашей страны?"
8,"Отряды боевых птиц и хомячков,уже уничтожены?🤣"
9,
10,Пример берут из США ?
11,Выбрать и то не умеют. Что за нация?
12,здравствуйте!!!!вы вроде взрослая женщина и верите в выборы???то есть в то что МЫ выбираем??снимите розовые очки!!!!
13,"[id563314698|Михаил], какая женщина... это бот."
14,Даже не хочу читать. Надоели
15,"Понятно все. К Путину тоже вопрос.
Всё хорошо?"
16,Да(нет)
17,"Кастрюляголовым, всё что просили, то и пришло 😜😜😜"
18,Уже страшно
19,какую ещё пакость устроят.....
20,Сидят бездельники паразиты и на налоги россиян россиянам жизнь портят
21,Антинародная Дума !
22,
23,"Опять либеральничаем, до коли будет продолжатся это лизоблюдство с врагами ???😡😡😡😡"
24,"Ну напугали санкциями, которые даже обходить не нужно!"
25,"раскрыты-как иголку толи в яйце, то ли в стогу сена закодировано как следует...."
26,"ну посадили и посадили его на 25 лет. всё правильно сделали, при чём доказательство тому было то, что кураторы западные мурзы приехали на оглашение приговора"
27,я смотрю у тебя сплошь западные фотки... любишь запад? шмотки? да?
28,"[id329515201|Брайан], судя по твоим имя-фамилия, ты против западного не возражаешь ?
Повылазоло фейков..."
29,"Он может сам захотел Навальному помочь, униформу шить."
30,Отличный срок
31,
32,"Все-таки просто так 30к $ в месяц не платят, определённые риски есть."
33,"Полянский ты про какие риски? Ты вообще в своём уме, может на Донбасс, пройди там курс лечения, там там чётко научат родину любить и относится к ней уважительно"
34,"[id785340527|Наиль], при чем тут Донбасс ?
А если посмотреть, у кого из ""верных путинцев"" какая недвижимость и семьи за кордоном ?
А если вспомнить, что при обнулении Конституции обещали запретить двойное гражданство, но у половины депутатов оно и сегодня есть ?
Так при чем тут Донбасс то ?
Сам то ты - фейк с одним другом в соцсети, с чего выпендриваешься ?"
35,"[id785340527|Наиль], всмысле какие? Ему же срок дали, или для тебя это не риск?"
36,А в комментариях - одни кремлеботные фейки...
37,"А у Россиян спросили нравится ли им когда их
Исследуют, можно и проблем нажить, причем на ровном месте"
38,"То есть когда, если он сегодня это сделал, оперативно слетал, все из первых уст заслушал, принял меры против всу и следующими пошел делами заниматься"
39,Путин как Всегда Молодец.🇷🇺🇷🇺🇷🇺🇷🇺🇷🇺🇷🇺🇷🇺🇷🇺🇷🇺🇷🇺🇷🇺🇷🇺🇷🇺🇷🇺🇷🇺🇷🇺🇷🇺🇷🇺🇷🇺
40,"Сегодня, сегодня утром Путин посещал фронт. 
никому неизвестно было только то, что он готовит это посещение.мне кажется даже не все в Кремле были в курсе"
41,"Как хорошо, что Владимир Путин смог выделить время для такого визита. Ведь когда к тебе приезжает сам президент, то мне кажется боевой дух поднимается на максимум. Поэтому такая поддержка для наших солдат очень важная. 👍"
42,"круто что государство все более социальынм становится, больше льгот и выплат для граждан"
43,"у бабули моей имущества как раз много, освобождение от налога на него сильно помогает беречь средства 
спасибо государству, что не со стариков средства собирает, а с тех, у кого денег полно"
44,пытин
45,что за тряпка на фото
46,А они имеют право кого-то учить? Твари
47,"Так, с германцами всё понятно: горбатого исправит лишь могила...Но воспитывать и этих животных следует настойчиво!👍😄😡"
48,
49,Не учит история немцев. Были у нас. Конец известен.
50,"Ну как обычно, просто будут проводить провокации, тут как бы ничего необычного нету. Это же же США."
51,ты здесь по работе.
52,Ну хоть не на крейсере Москва приплыл...
53,"[id88767773|Эдуард], А зачем ему вообще куда то плыть? Когда он просто и прилететь может, + это бы было крайне неудобно."
54,"Конечно не удобно приплыть на крейсере,который был утоплен год назад"
55,"[id88767773|Эдуард], как там Зе? Бороздит воды Черного моря на ""Сагайдачном""? А! Он плавает по Днепру на лодочках, закупленных в США? Как там, их доставили или нет на Украину?"
56,"Спроси у Путина,что с подлодкой..."
57,"[id88767773|Эдуард], Это которая в составе ВМФ Украины приварена к пирсу?"
58,"[id88767773|Эдуард], А при чём тут это вообще? Там во вторую мировую войну у Союза тоже топили корабли, вы и их тоже вспомните ?"
59,Это которая Курском названа была
60,"Нет,только те корабли,что утонули при Путине"
61,"[id88767773|Эдуард], Так про нее все известно. Вы не виляйте, как вошь на гребешке, ответить то на поставленные вопросы в состоянии ?"
62,Ты пьяная с утра что ли
63,"🇷🇺з=(◕‿◕)=ε🇷🇺
Снова и снова готов повторять. Новороссия. (2014 - 202?)
Новороссия, ты состоишься! 
Восстановим с тобой города. 
Будут снова счастливыми лица, 
Будет мирная жизнь навсегда! 

Победим мы с тобою русофобов и националистов!
И погоним их прочь как тогда... 
Наши деды прогнали фашистов. 
Гитлер сгинул с Земли навсегда. 

Но, осталось семян поколение - 
Проросли несмотря на года, 
И нацизма идёт наступление, 
Чернотой застилая сердца. 

Не пропустим Бандеры знамение, 
Пресечём на корню на раз-два! 
Не пройдёт на Донбасс наступление! 
Укровермахт, запомни слова! 

Ты запомни, неонацисткая гнида, 
Новороссии быть! - и тогда.... 
Мы достанем тебя, где б ты ни был! 
Хорошенько запомни слова! 

Этих слов дилетантская рифма 
Пусть раскалит мозги добела! 
Потому, что Донбасс состоится, 
И закончится эта война! 

Завершится она той Победой, 
Что в мечтах согревает сердца! 
За Любовь, Доброту и за Веру, 
Ополчение пойдет до конца! 

И засветятся радостью лица, 
И проступит мужская слеза! 
Новороссия, верь, состоится! 
За неё мы пойдем до конца!!! 
                                             Новиков А.В."
64,
65,"[id661511494|Андрей], не отпустят врага, каждый будет наказан за свои преступления, такие вот дела"
66,"спокойно делает свою работу, а рогулье злится, видимо завидуют тому, что российский президент способен реальные вопросы решать, а зеленский просто клоун"
67,пенсионно - плешивый фуфлыжник
68,Опять предупредили..
69,"[id54125651|Максим], а что думаешь пора радикально хреначить по ним сарматами? 
хотя, я конечно могу сейчас расчехлить свой Тополь, но не думаю, что это поможет, он всего один, на второй коплю еще и тогда по Лондону и Вашингтону херачитть можно будет
АХАХАХААХАХАХ
(шутка)"
70,"США и Британия свою шестёрку пожалели, кто им верно жопу лизать будет"
71,"За такие высказывания наших послов уже послали бы домой, а наши либерасты их всё ещё «партнерами»считают 😡😡😡😡"
72,"Может он убил кучу человек, а нам об этом не говорят? Или реально 25 лет строго режима получил за свое мнение?"
73,"[id277974390|Светлана], какое нахрен мнение ?! Вы намеренно ""дурочку включили"" или вас обманули послы Британии и США ? 😂
Может потрудитесь погуглить за что эту скотину осудили ?"
74,мыд
75,
76,Странный выбор фотографии вы не находите? Я помню этот день.
77,Опять в Белгороде дождик с пеплом ждать?
78,"[id106108149|Яна], чуть попозже🤣🤣🤣"
79,"Ну, да когда там всё утихомирилось! А когда там было месиво, фиг бы он туда прилетел бы!"
80,"[id616580291|Кирилл], вон кстати, напиши вот этим двум чудикам, Антону и этой Вере Тушиной, которые тут вот разыгрались! С этими детишечками у тебя в вашей ""песочнице"" даже запахи перемешаются! Господи, храни Россию от придурков и засранцев из ""песочницы""!🙄🤣☝😩"
81,"[id601067856|Анатолий], продолжайте оставлять комментарии и увеличивать просмотры записи) а мне некогда, я на работу собираюсь. Скажите спасибо мне хоть за это))"
82,"[id601067856|Анатолий], какая песочница, кто это вообще? Контузило тебя?"
