,0
0,🇷🇺🇷🇺🇷🇺👍🏻🇷🇺🇷🇺🇷🇺
1,"[id687814691|Эдуард], ты и тут, болезный?"
2,а вы что-то имеете против ?
3,"[id4145009|Марина], 🇷🇺🇷🇺🇷🇺😉🇷🇺🇷🇺🇷🇺"
4,"Скажите, почему вы при как-бы борьбе с Америкой используете американские термины? Например - фейк? Русские слова и определения вам претят? Вам они неприятны? Например -  ложь, обман, клевета, или забытое слово подлога - утка? Вам уже мало кто верит."
5,"Попробуйте связаться с администрацией из Донецка, они вам дальше подскажут к кому обратиться"
6,"[id687814691|Эдуард], по такой логике Путин является фашистом и бандеровцем, ведь он так обзывался😂"
7,"[id661939560|Эдуард], Э! А ты с чего взял что это пиндосовские слова то? Он на русском языке вообще-то пишет."
8,"[id55065957|Татьяна], не ДЕмобилизация,а МОБИЛИЗАЦИЯ. К сожалению, правда.И в ЛНР тоже самое."
9,"[id55065957|Татьяна], ну ведь они воюют за свою землю. Не только нашим бойцам освобождать Донбасс."
10,"[id545535669|Томас], всё так и есть."
11,
12,"[id137732346|Оля], ссыклобот/ ты этими фейками мамушку свою развлекай"
13,"[id25789847|Ярослав], клоун/ ты мамашку свою весели / а меня не надо"
14,"Если уж Анатолий Кузичев так кому-то нужен в качестве ведущего, то ему просто необходимо посещать уроки по произношению слов. Ведь уши уже сворачиваются от его бу-буканья и ме-меканья."
15,"[id664080711|Владислав], не плакай"
16,Эти придурки уже взламывают аптечные приложения для рассылки фейков🤦‍♂️🤦‍♂️🤦‍♂️
17,"[id134948776|Дая], видимо это последнее фееричное шоу Зеленского..."
18,"[id25789847|Ярослав], ну вот потом и обсудим... спасибо за понимание..."
19,Чего ваш эфир не работат???????
20,"[id134948776|Дая], да нет, фейк у вас на первом. Увы"
21,"[id227655|Irina], это скрин с моего телефона🤦‍♂️"
22,"[id134948776|Дая], я не про ваш скрин. А про то, что происходит, к сожалению"
23,"[id187551884|Аня], вы вообще откуда упали жинщина?"
24,"[id134948776|Дая], Это не фейк"
25,"[id227655|Irina], 😂😂😂😂🤣"
26,Это надо всё ОСТАНОВИТЬ мирным путём !!!
27,"[id162828015|Нина], вперед, пробуйте. А наши пусть делают свое дело."
28,"[id162828015|Нина], неужели Вы не понимаете, народная милиция ДНР, ЛПН ведут военные действия с неонацистским киевским режимом, который 8 лет убивал людей в их город и селах, только потому, что там много русско-язычных. Россия помогает этим республикам очистить Украину целиком от нациков, иначе они как грипп будут возникать вновь. Вы этого хотите?"
29,"[id162828015|Нина], научитесь дома все мирно решать !"
30,"[id22353490|Таисия], у меня дома всё мирно, вот за других переживаю !!!"
31,"[id61644749|Ольга], а зачем вы у себя своих детей превратили в фашистов?Я помню как вы учили малышей кричать ""Убивайте москалей!""-это было в 2015году!Вы у себя в тепличных условиях пестовали нацистов и призывали убивать народ русский.Кто вы ?"
32,"[id205592713|Любовь], вы о чем и кому, будьте внимательнее."
33,"[id162828015|Нина], демиталиризация и денацификация Украины."
34,"[id162828015|Нина], почитайте как проходила денацификация фашистской Германии после второй мировой войны, и поймёте что дальше. Но сначала демилитаризация ☝"
35,"[id162828015|Нина], Господи вразуми . Ничего не хотят понять ."
36,"[id162828015|Нина], Вы в своём уме?? В 1941 когда фашистский запад напал на нас, нам нужно было не сoпротивляться и типа мирным путём остановить?? Вас бы расстреляли как врага народа в Великую Отечественную.. Если бы Путин не начал в эти дни первым уничтожать фашистские натовские базы и иx огромные террористические группировки на украине.., началась бы полномасштабная бойня всех русских не только на Донбассе ,но и на всей украине. С переносом военных действий в Россию. Вы этого хотели бы?"
