,0
0,
1,"[id719712963|Игорь],"
2,
3,"[id719712963|Игорь], 🤣🤣🤣"
4,"[id59701727|Олег], 🤣🤣🤣🤣"
5,Все человеческие эмоции увидела!Прелесть  а не пес.
6,"[id71550944|Любовь], пузо чешет как мужик"
7,
8,Совсем не монтаж.
9,"[id513070933|Александр], монтаж? Там в конце замедление и стопкадр - это весь монтаж, поехавшие"
10,"[id513070933|Александр], вообще ни капли😐👍"
11,"Безмозглое существо, а не хозяин."
12,"[id360241455|Oogway], когда у меня кот попрошайничает, то, что он не будет есть я тоже даю ему понюхать и не важно что это, что бы не лез."
13,"[id32826618|Владимир], дайте своему коту понюхать нашатырный спирт. Пить он его всё равно не будет. 
Заодно и сами можете в пузырёк нос засунуть."
14,"[id360241455|Oogway], вот как сяду пить его, так и дам, и дать понюхать и совать в нос - это разные вещи…."
15,Первый долбанутый.
16,"[id4229875|Ирина], это перекличка?"
17,"[id360241455|Oogway], спасибо что отозвался."
18,"[id360241455|Oogway], а ты кстати как животному объясняешь, что он это не будет? На словах? И как? Понимает?"
19,"Володь, вот идёшь ты с собакой по тротуару, а он реагентом обработан.  И лапы у неё от реагента болят и страдают. 
Как ты объяснишь собаке, что это для того чтобы по льду не скользить? На словах?"
20,"[id360241455|Oogway], еврей что ли?"
21,"[id32826618|Владимир], антисемит что ли?"
22,🤣🤣🤣
23,
24,Торкнуло...🤣
25,Но ведь как то его едят? Зачем❓???
26,"[id343286274|Merienn], насколько я знаю, хоть он и вонючий, но при этом вкусный, как это работает, я не знаю))"
27,"[id302018302|Антон], наверное кушать его можно только при насморке! 🤣🤣🤣Но как-то ведь финны любят тухлую рыбу в банках и это у них деликатес...."
28,"[id343286274|Merienn], он на любителя, но мне очень понравился😁"
29,"[id343286274|Merienn], Просто не дышать, и резать его в подъезде, надеясь что не вызовут ментов от этого запаха🤣"
30,
31,"[id343286274|Merienn], или шведы ?)"
32,"[id343286274|Merienn], Шведы"
33,"[id343286274|Merienn], он вкусный 🤷‍♀️"
