,0
0,Короче приукрашивает)
1,"Очень подробно  о работе  сознания человека  описывается в книге Аллатра.  И все эти шаблоны поведения прописываются,   интересно  особенно  а практике наблюдения  за сознанием , его ходы и то как оно обманывает и манипулирует человеком."
2,Враньё
3,
4,Так я давно об этом говорил
5,"[id108113967|Владислав], просто красавчик ёмаё, говорил он... Взял бы да провел серию экспериментов, работу по ним написал, а говорить любой может"
6,"Искажение создают сами люди, у которых с памятью не очень хорошо"
7,"А если по голове дать монтировкой, то ложные воспоминания появляются ещё быстрее."
8,"Потому что там камеры повсюду и они их боятся, ну и менталитет уже не тот что во 2 мировую"
9,"[id194904350|Краса], присвоение этого мяча не квалифицировалось бы как уголовное преступление, так как передавался добровольно и без оговорённых условий."
10,общественное порицание для харакири
11,"[id194904350|Краса], для чего, простите?:)"
12,сепукку
13,"[id194904350|Краса], не уверен, что все тысячи людей на стадионе внезапно оказались именно самураями и не уверен, что девушка сразу из даймё и мячик является важным стратегическим военным средством или фамильной реликвией Императора ))"
14,"[id3298392|Денис], да что вы здесь устроили то!? ))) мы тут воробушки глупенькие, картиночки пришли посмотреть,  а не читать ваше здесь)))))"
15,"[id3996416|Алексей], извините, я потерялся с утречка :)"
16,"[id3298392|Денис], знатоки уголовного права Японии вошли в чат 🤣🤣🤣"
17,"Мда, знакомство с японской культурой и менталитетом, конечно, да🤦‍♂️"
18,"Человек, который спёр мои перчатки, если ты читаешь этот пост, будь добр, верни.
Весна и лето короткие, скоро снова осень и зима.
Посмотрел, сфотографировался и будь добр, верни."
19,"[id331142627|Ян], перчатки по рукам пошли"
20,"😆😆😆😆😆🤣
Меня вынесло и затащило обратно🤣"
21,"[id331142627|Ян], Земля побольше стадиона, придется подождать"
22,"[id331142627|Ян], и когда нибудь через 20 лет, они таки вернутся к тебе... рваные, протертые, найденные бомжом на помойке, но ведь вернутся😌"
23,Цивилизованные люди! 👍
24,"[id742098566|Виктория], в России не дошёл бы мяч!"
25,"[id742098566|Виктория], японцы то? Ага, фашистов переплюнули в цивилизованности"
