,0
0,Это типа не их собачье дело🤣🤣
1,У нас -у простого народа другое понимание резерва.
2,"[id343807430|Дина], посмотрите в глобальном плане. Такие заявления - лишь слова о том, что никаких дефолтов, какие нам вечно прогнозирует Запад, не будет"
3,"[id680871073|Екатерина], мы уже посмотрели и повесили сушить...
Детям собираем как нищие СМСками.
Мобилизованные сидят на гуманитарке.
Страна подсела на иглу ""мигранты""-это гигантские деньги из воздуха за прибывание .

Уважаемая Садовская, например Садовничий другого мнения ..."
4,"Я спокоен за резервы страны,я за свои резервы не спокоен😄"
5,"[id262128876|Андрей], как говорится, с языка снял .😂"
6,"Она ничего не говорила о 300 млд  $$ , которые заморозилт в сша🇺🇸 и которые и собираются отнять у России в пользу Краины??  А зря. Она ещё нас будет успокаивать!?!, хотя лично за них в ответе."
7,Россиян беспокоит доллар за 80...😡
8,Резерв страны и резерв Народа это разное..... Пока народ нищает ...😱😱😱
9,"Печальная страна, разворовали будущее"
10,Пешка
11,
12,Серьёзно Эльвира
13,"Козлина,для тебя особый котел в Аду кипит…😏😏😏"
14,"Западные и украинские чиновники молчат.. Снова не смогли, видать, узнать что-то про приезд Путина.."
15,"Щас боты повылазят и начнут твердить, что это фейк и ниправда 😂😂"
16,"ПаЦреот, не обижай так русский язык, чучело!"
17,"[id188362357|Миха], чё им вылазить они живут тут😂"
18,"[id292763736|Игорь], правильно пишется Патриот, а не пацреот."
19,
20,"[id200584822|Вячеслав], Оксаны и тарасы отрабатывают 🤣🤣"
21,"[id188362357|Миха], 😂😂🤦на сало"
22,Через сколько прибегут доказывать что все это вброс и вообще это тройник переходник Путина?
23,"[id729804507|Снежанна], так по классике у них , просто не могут признать факт , как бы Путин и Мариуполе бывал вроде даже в Ростове с Шойгу потому не удивлена его визиту в ЛНР и Херсон"
24,"[id729804507|Снежанна], ну уже скоро выйдет разбор от Милова и НАки, потом впишеться Гордон, а Зеленский скажет, что не верит в существование Путина"
25,И правильно. Никому не нужны конфликты.
26,"Весна 2022, представители Украины: ""Мы изолируем Россию""

Весня 2023, представители Украины: ""Мы изолируемся сами""😂 

Шутки-шутками, но считаю, что спорт должен быть вне политики"
27,"[id716509405|Елена], так какие тут шутки? Если не можешь победить запрети. Причем участие своим спортсменам в соревновании с русскими)"
28,"Ну пусть соревнуются с фриками, трансгендерами и  гомиками."
29,Это уже диагноз.
30,"Да здесь не конфликт,а скорее ненависть к России и Беларусии.А Китай,Индия,Сербия,с ними они будут соревноваться?Или тоже на них санкции?😁Детский сад,а не Украина."
31,"[id775158437|Татьяна], а зачем соревноватсья с ними? если русские есть, то ни с кем не будут"
32,Мне спортсменов жаль....
33,Трусы
34,Украина бьётся в конвульсиях 🤷‍♂️.
35,Безумие полное и ведь все подчиняются Украине. Ибо миром правит гегемон. Как всё стало наглядно.
36,"Предсмертные судороги Зели--нуркомана,Хоть что--то, но запрещу, пока Я--украинец!!!"
37,Да и покуй
38,"А родственники кто🤷‍♂️, лесничий? с такими подарками разъежать🤦‍♂️, и где его Мама? 
Удачи тебе Мишка✌️, не попадайся больше двуногим✊"
39,"[id153094086|Недвижимостьс], браконьер скорее всего."
40,"О чём люди думают, дикого зверя домой притащить!!!!"
41,"[id210277007|Татьяна], они голодные вышли сами,медведицу убили наверно"
42,Родственники женщине привезли в подарок.
43,"Маленьких диких зверей лучше пристраивать в заповедники, чтобы они к людям не привыкли."
44,"Бранконьеры наверно медведицу застрелиле,а медвежата без матери не выживут,это добыча Волков и Рысей станут"
45,"[id187246550|Виталий], я сразу так подумала. Оторвали бедолагу от мамки🥹."
46,"Такое ощущение, что разговор про плюшевого мишку🤷‍♀️ : родственники привезли, решила оставить в квартире! 😳"
47,"Ненормальная семейка: одни медвежонка дарят, вторая себе его оставляет.🤦‍♂️"
48,"[id147791983|Наталья], это нормальная забота .уважуха таким людям .потом пристроят медвежат и они будут жить ..Лучше бы склоняли браконьеров."
49,А что с ним дальше?
50,"[id711713358|Екатерина], вы читать не умеете? Сначала центр реабилитации, потом на Алтай в вольер для подготовки к жизни в природе потом в год выпустят на волю  🤷‍♀️
Их ж учить пищу добывать не кому."
51,"""Хозяйка тайги"""
52,"Это же,скорее всего временно,пока они маленькие.А дальше,в лучшем случае в тайгу выпустят,желательно летом,а в худшем это зоопарк😥"
53,Подрастёт и задерет кого нибудь
54,
55,Кто эта шушара😳
56,"Огромное спасибо ему, что против войны выступил."
57,"[id728806000|Борис], и тебя вылечат.."
58,"[id728806000|Борис],публично выступал против нашей армии, против защиты нашего народа, защиты Отечества, в угоду врагам?!?!"
59,"[id465763207|Ирина], и этот козел снимался в нашем фильме Мы из будущего. Играл героя, а на деле трус и предатель, как и Смолянинов"
60,"[id200143089|Нина], как и тот сержантик их ""9ой роты"". Предатели!"
61,"[id465763207|Ирина], я про него и написала - Смолянинов, который теперь за границей в женском украинском наряде с венком на голове и в парике с косой, читает похабные стишки про Россию"
62,"[id200143089|Нина], Аминов ЦИПсОшник.Они себе ставят лайк.Работа из за бугра, враг."
63,"[id548647423|Татьяна], да от таких уродов издалека дерьмом несет, не перепутаешь🤣🤣🤣"
64,"[id728806000|Борис], жёлудь будешь?"
65,"[id361024967|Андрей], это для него шикарный деликатес, пусть в навозе пропитание ищет"
66,"[id200143089|Нина], 🤣🤣👍"
67,Очередной полупокер. 🤡💩
68,"Просто проверку медными трубами не прошёл, головокружение от успехов, почувствовал себя звездой, а по факту, вложенные не туда деньги очень вернуть хочется"
69,Патриот
70,"Путинские холуи уже в ком угодно пытаются найти ""врагов"""
71,"[id79360614|Катя], и больше добавить нечего!"
72,"[id79360614|Катя], И вас вылечат!"
73,"[id748833217|Кахабер], 👍👍👍👍👍👍"
74,"[id79360614|Катя], катья полегче!!! Не любишь? А кого ты любишь?"
75,ЯПОПИЯ...
76,Ужасно жить во время запрета свободы слова по факту
77,"[id577048853|Natalia], сочувствую вам. У нас нет таких запретов."
78,"[id577048853|Natalia], у ПРЕДАТЕЛЕЙ НИ СВОБОДА СЛОВА А ПРОВОКАЦИИ И ПОДСТРЕКАТЕЛЬСТВА КАК И С ВАШЕЙ СТОРОНЫ ..."
79,"[id577048853|Natalia], свобода аргументированного слова - есть, конечно. Ваше поливание помоями, лживой информацией, передергивание фактов - вот этому путь закрыт. И слава богу"
80,"[id577048853|Natalia], зеля вообще скоро вас полякам в рабство отдаст,слово то забудь"
81,"Natalia Snegireva,"
82,"[id286688419|Юлия], так, выйдете на площадь с плакатом...и надписью, хоть мир,хоть война!!! Любой! И посмотрим, свобода или наоборот??"
83,Война - время очищения!
84,"[id709022564|Алексей], Не война, а СВО, быстрая, точная и успешная операция."
85,"[id709022564|Алексей],  Согласен. Давно надо было начать, лучше намного жили бы. Этих продажных в стране не перечесть. Начиная с депутатов вампиров и всяких меров пристроившихся под волну, и ждущих своего выхода для предательства родины"
86,"[id209616016|Гомяр], чёт на блицкриг не похоже ."
87,"СВО- истребление славян, а потом вот это"
88,
89,"[id751351625|Нух], правильно начать проверять их всех надо"
90,"[id751351625|Нух], все так что то только продажные эти как сидели в администрациях и так далее так и сидят. Показухой попахивает."
91,"[id10940398|Павел], Задумывалось великим стратегом как блицкриг."
92,"[id209616016|Гомяр],"
93,"[id209616016|Гомяр], это он вам лично доложил?"
94,Ещё одна предательская морда объявилась. Жаль.
95,"Всё идёт по плану, да?"
96,"[id728806000|Борис], а план то вообще есть ?"
97,"[id694291319|Евгений], план у них двоих есть, только они его курят😛😂🤦"
98,"[id728806000|Борис], а что у нас идёт не по плану? мы зашщищаем наши границы и продвигаемся вперёд по линии фронта. какие могут быть вопросы?"
99,"Не погиб😳он,а подох"
100,"[id200584822|Вячеслав], а может он вообще хотел бежать из фашистской Украины в Россию. кто его знает"
101,"[id200584822|Вячеслав], С предателями конечно же так и надо поступать, они все равно другого языка не понимают"
102,"[id734575667|Даниил], если хотел, то для этого есть другие пути, я думаю.. а не лезть через ""проволоку"".."
103,Похоже на очередные пропутинские сказки
104,"[id79360614|Катя], зели сказки иди слушай,те пора ему лизать ноги перед сном"
105,"[id79360614|Катя],"
106,"[id79360614|Катя], похоже ты рожу свою готовишь к показу"
107,"[id79360614|Катя], тварь ПРОВОКАТОР БЕЗ СТРАНИЦЫ И РОЖИ"
108,Типо чувак в одного шел
109,"[id9774969|Кирилл], типа другие вкурили и обошли."
110,"[id9774969|Кирилл], Думаю, что он просто захотел в украину сбежать, но из-за неопытности подорвался. Карма мгновенно сыграла"
111,Дебилы Россией управляют. Губят страну и людей.
