,0
0,"Все же нашим штурмовикам стоит отдать должное , они очень упорно идут в Артемовске освобождая постепенно его"
1,"Саня ещё сражается? Уже, вроде, пенсионер для боев!"
2,не останавливайтесь ☝️
3,Весело в Эуропе)))
4,"Если французов доведут до цугундера, они и Елисейский дворец штурмом пойдут брать!"
5,"[id262005268|Петр], и пипец Макрону придёт, а обвинят,естественно, Путина))))"
6,Ухаха. Кто поверит в этот бред?🤣
7,"[id657410661|Александр], что не так?"
8,"[id136444264|Игорь], Да всё. Это не путин 100%. Настоящий путин к людям не приближается ближе чем на 50 метров."
9,"[id657410661|Александр], желудь будешь? ))"
10,"[id657410661|Александр], проснись, ты серешь"
11,"[id521658840|Алекс], 😂ага"
12,"[id657410661|Александр], вякнул, ботик! Это ваш наркоша нос из подвала не показывает!"
13,"[id657410661|Александр], ты не поверишь, чубатый. Мозги у тебя чистые, ты ими не пользуешься."
14,"[id657410661|Александр],"
15,"[id30609079|Елена], их просто нет, они атрофировались."
16,"[id657410661|Александр], а тебя очко дырявое никто не спрашивает."
17,С этим бункером точно что-то  не так.
18,"[id12316199|Kate], Да, наверное то, что его попросту как такового не существует)"
19,"[id789998337|Татьяна], да скорее уж тебя ботик 😁"
20,"По. .й,не интересно!"
21,
22,"[id737716395|Людмила], 🤣"
23,"А помните как Мосфильм построил целый город для Путина и как будто он по Мариуполю ездил 😁 Ботов то хозлятских налетело кококо это не Путин ,кококо это не настоящий бункер 😂"
24,"[id120656|Дмитрий], ты один этот сон смотрел🤣"
25,"[id120656|Дмитрий], а как же крымский мост? Про него почему забыли ? Это же тоже была построенная Мосфильмом декорация 😁"
26,"[id519332814|Дмитрий], он был построен в ангаре рядом 😂"
27,"Угадайте, какой из них приехал?"
28,"[id737716395|Людмила], За что? За то, что пишу правду? За правду никогда не платят."
29,"[id657410661|Александр], ЗА ТО ЧТО ПИСИЩЬ"
30,"[id657410661|Александр], а ты прям следопыт, ведешь раскопки, в школе учился видно хорошо. Сейчас наверно безработный, поезжай в Египет там нужны следопыты."
31,"[id737716395|Людмила], Ну да, правда в фашистском государстве, наказуема. 😏"
32,"[id242438462|Лариса], Я реалист."
33,
34,"[id737716395|Людмила], а зачем вы кормите ципсошницу ? У ней задача нагадить так , что бы как можно больше людей повелось на всхрюкивания и начали писать ответы. А она получит больше денег. Не кормите тварь  , пусть сдохнет голодная 😂"
35,"[id657410661|Александр], по тебе и видно. Реальность на лицо."
36,"[id519332814|Дмитрий], ЗЛО БЕРЁТ ОТ ЭТИХ ТВАРЕЙ ."
37,"[id242438462|Лариса], Конечно. Или вы хотите сказать, что тот, кто 2 недели назад в Кремле отказался подходить к послам. Тот, кто с Шойгой сидит на расстоянии 10 метров. Вдруг поехал туда, где стреляют, да еще и ручкается со случайными людьми?😏 У вас явно проблемы с логикой"
38,"Путин конечно поразил своей неожиданной поездкой, хотя это и стоило ожидать, ведь он держит все на своем контроле"
39,"Nawet Putin wie, że tylko cud uratuje Rosję?"
40,"[id788140961|Grzegorz], Написал господи, пришлось транслейт включать)
А от чего то Россию спасать нужно? И какое чудо? Она справляется очень даже неплохо, да и собственно в спасении не нуждается)"
41,"[id789998337|Tatiana], 😂😂😂"
42,"Nawet Putin wie, że cudem jest naród rosyjski, który w razie potrzeby wstanie i złamie wam kark, i całe NATO, i Ameryka, wiedzą to śmierdzący grzebień, który się tu wypróżnił, z jakiegoś powodu po polsku"
43,"[id85827330|Stanisław], Соберись, соберись. Россия уже больше года не может договориться с Украиной."
44,"ученые всё спорят -так как появился наш мир- и каждый год нам показывают как- схождение благодатного огня-! но мы не понимаем как это энергия из ничего ?-
. В начале сотворил Бог небо и землю.
. Земля же была безвидна и пуста, и тьма над бездною, и Дух Божий носился над водою."
45,Икона принадлежала Сердюкову? 😳
46,Да это не путин. 🤣
47,"Все счастливы, теперь есть чем воевать. Привез сотню танков, самолетов последнего поколения. 
За окном 21 век, а нам   всё пытаются навязать религиозные догмы. 
А пушками воюем 50 летней давности."
48,"Лучше РАКЕТЫ ДАЙТЕ, а не иконы дарите, БОГ и так на стороне наших защитников!!!!😡✊"
49,"[id345011985|Татьяна], зачем давать Путину военным ракеты, если этим занимаются Минобороны, постоянно снабжая всем необходимым наши войска?"
50,
51,👍👍👍👍👍👍👊🏻👊🏻👊🏻✊🏻✊🏻✊🏻
52,А че не Геническая область?
53,"[id219465553|Андрей], не спеши, всё будет и киевская, и одесская..."
